MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 22:00
10000847339,000000000034153614,0.1985,Active Import Interval (kWh),22-02-2025 22:00
10000847339,000000000034153614,0.7100,Active Import Interval (kWh),22-02-2025 21:30
10000847339,000000000034153614,0.0025,Active Export Interval (kWh),22-02-2025 21:30
10000847339,000000000034153614,0.0025,Active Export Interval (kWh),22-02-2025 21:00
10000847339,000000000034153614,0.4060,Active Import Interval (kWh),22-02-2025 21:00
10000847339,000000000034153614,0.0020,Active Export Interval (kWh),22-02-2025 20:30
10000847339,000000000034153614,0.1705,Active Import Interval (kWh),22-02-2025 20:30
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),22-02-2025 20:00
10000847339,000000000034153614,0.0295,Active Import Interval (kWh),22-02-2025 20:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),22-02-2025 19:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 19:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),22-02-2025 19:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 19:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 18:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 18:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 18:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 18:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 17:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 17:30
10000847339,000000000034153614,0.0045,Active Import Interval (kWh),22-02-2025 17:00
10000847339,000000000034153614,0.0030,Active Export Interval (kWh),22-02-2025 17:00
10000847339,000000000034153614,0.0020,Active Import Interval (kWh),22-02-2025 16:30
10000847339,000000000034153614,0.0395,Active Export Interval (kWh),22-02-2025 16:30
10000847339,000000000034153614,0.0020,Active Import Interval (kWh),22-02-2025 16:00
10000847339,000000000034153614,0.1345,Active Export Interval (kWh),22-02-2025 16:00
10000847339,000000000034153614,0.1045,Active Export Interval (kWh),22-02-2025 15:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 15:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 15:00
10000847339,000000000034153614,0.3895,Active Export Interval (kWh),22-02-2025 15:00
10000847339,000000000034153614,0.3700,Active Export Interval (kWh),22-02-2025 14:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 14:30
10000847339,000000000034153614,0.0510,Active Import Interval (kWh),22-02-2025 14:00
10000847339,000000000034153614,0.2440,Active Export Interval (kWh),22-02-2025 14:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 13:30
10000847339,000000000034153614,0.3290,Active Export Interval (kWh),22-02-2025 13:30
10000847339,000000000034153614,0.0060,Active Import Interval (kWh),22-02-2025 13:00
10000847339,000000000034153614,0.3585,Active Export Interval (kWh),22-02-2025 13:00
10000847339,000000000034153614,0.5260,Active Export Interval (kWh),22-02-2025 12:30
10000847339,000000000034153614,0.0310,Active Import Interval (kWh),22-02-2025 12:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 12:00
10000847339,000000000034153614,0.7050,Active Export Interval (kWh),22-02-2025 12:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 11:30
10000847339,000000000034153614,0.7635,Active Export Interval (kWh),22-02-2025 11:30
10000847339,000000000034153614,0.7265,Active Export Interval (kWh),22-02-2025 11:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 11:00
10000847339,000000000034153614,0.7185,Active Export Interval (kWh),22-02-2025 10:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 10:30
10000847339,000000000034153614,0.6605,Active Export Interval (kWh),22-02-2025 10:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 10:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 09:30
10000847339,000000000034153614,0.4830,Active Export Interval (kWh),22-02-2025 09:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),22-02-2025 09:00
10000847339,000000000034153614,0.1110,Active Export Interval (kWh),22-02-2025 09:00
10000847339,000000000034153614,0.0030,Active Export Interval (kWh),22-02-2025 08:30
10000847339,000000000034153614,0.0370,Active Import Interval (kWh),22-02-2025 08:30
10000847339,000000000034153614,0.0045,Active Import Interval (kWh),22-02-2025 08:00
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),22-02-2025 08:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),22-02-2025 07:30
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),22-02-2025 07:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),22-02-2025 07:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),22-02-2025 07:00
