#MPRN: 10012947687
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-02-05,1.544,1.547,1.277,0.411,0.015,0.033,0.015,0.034,0.015,0.017,0.032,0.035,1.356,1.528,1.529,0.823,0.014,0.033,0.014,0.025,0.021,0.014,0.03,0.014,0.03,0.016,0.015,0.033,0.014,0.032,0.017,0.014,0.034,0.014,0.026,0.023,0.015,0.034,0.015,0.017,0.032,0.015,0.029,0.021,0.014,0.035,0.348,1.277
2024-02-06,1.568,1.556,0.952,0.276,0.028,0.02,0.018,0.029,0.015,0.034,0.015,0.052,1.369,1.537,1.114,0.753,0.032,0.015,0.03,0.016,0.02,0.026,0.015,0.032,0.015,0.031,0.017,0.014,0.034,0.014,0.03,0.018,0.014,0.034,0.014,0.019,0.03,0.014,0.029,0.02,0.015,0.035,0.015,0.015,0.036,0.015,0.35,1.29
2024-02-07,1.542,1.543,1.285,0.389,0.031,0.018,0.015,0.035,0.015,0.015,0.035,0.043,1.369,1.573,1.512,0.786,0.035,0.014,0.02,0.029,0.015,0.019,0.031,0.014,0.019,0.031,0.014,0.02,0.03,0.014,0.023,0.027,0.014,0.023,0.026,0.014,0.022,0.029,0.015,0.014,0.037,0.015,0.015,0.034,0.018,0.015,0.364,1.307
2024-02-08,1.529,1.538,1.259,0.367,0.033,0.018,0.014,0.036,0.015,0.015,0.036,0.056,1.381,1.564,1.534,0.779,0.036,0.015,0.015,0.035,0.015,0.014,0.035,0.014,0.015,0.035,0.015,0.014,0.036,0.014,0.014,0.036,0.014,0.014,0.033,0.017,0.015,0.024,0.026,0.015,0.015,0.037,0.015,0.015,0.036,0.015,0.359,1.305
2024-02-09,1.539,1.529,1.255,0.37,0.015,0.035,0.015,0.015,0.035,0.015,0.015,0.079,1.365,1.533,1.531,0.758,0.021,0.028,0.014,0.028,0.021,0.015,0.033,0.016,0.014,0.036,0.014,0.015,0.032,0.017,0.014,0.028,0.022,0.014,0.022,0.028,0.014,0.015,0.035,0.015,0.014,0.037,0.014,0.015,0.022,0.029,0.35,1.274
2024-02-10,1.538,1.524,1.248,0.393,0.014,0.015,0.036,0.015,0.015,0.033,0.019,0.053,1.378,1.574,1.547,0.792,0.036,0.015,0.014,0.036,0.014,0.015,0.034,0.015,0.014,0.035,0.014,0.015,0.035,0.014,0.014,0.035,0.014,0.014,0.031,0.019,0.015,0.018,0.033,0.014,0.015,0.037,0.015,0.014,0.025,0.027,0.354,1.288
2024-02-11,1.566,1.548,1.27,0.408,0.015,0.017,0.034,0.015,0.017,0.034,0.015,0.047,1.412,1.582,1.565,0.831,0.014,0.015,0.035,0.015,0.018,0.031,0.014,0.014,0.036,0.014,0.018,0.031,0.014,0.035,0.014,0.014,0.034,0.014,0.026,0.023,0.015,0.029,0.021,0.014,0.029,0.022,0.015,0.025,0.026,0.015,0.357,1.313
2024-02-12,1.558,1.564,1.296,0.385,0.027,0.024,0.015,0.027,0.024,0.015,0.016,0.066,1.398,1.563,1.543,0.787,0.015,0.034,0.016,0.014,0.024,0.027,0.014,0.015,0.036,0.014,0.015,0.036,0.014,0.014,0.036,0.014,0.016,0.033,0.014,0.018,0.032,0.015,0.015,0.036,0.015,0.015,0.036,0.015,0.015,0.037,0.358,1.304
2024-02-13,1.584,1.579,1.289,0.411,0.015,0.015,0.036,0.015,0.015,0.034,0.017,0.046,1.347,1.549,1.527,0.784,0.037,0.014,0.014,0.036,0.015,0.014,0.034,0.017,0.014,0.022,0.029,0.014,0.015,0.036,0.014,0.015,0.033,0.017,0.015,0.02,0.031,0.015,0.014,0.038,0.014,0.015,0.021,0.032,0.015,0.015,0.371,1.262
2024-02-14,1.518,1.539,1.249,0.379,0.036,0.015,0.015,0.035,0.015,0.015,0.036,0.046,1.36,1.556,1.524,0.788,0.024,0.015,0.034,0.015,0.015,0.033,0.015,0.024,0.025,0.014,0.033,0.016,0.014,0.034,0.014,0.015,0.033,0.014,0.024,0.025,0.015,0.031,0.018,0.015,0.035,0.015,0.015,0.035,0.015,0.014,0.377,1.294
2024-02-15,1.555,1.561,0.858,0.192,0.015,0.027,0.023,0.015,0.035,0.015,0.022,0.062,1.364,1.511,1.131,0.575,0.021,0.018,0.03,0.014,0.033,0.014,0.029,0.017,0.018,0.029,0.015,0.032,0.015,0.03,0.016,0.022,0.025,0.014,0.033,0.015,0.032,0.016,0.016,0.031,0.015,0.034,0.015,0.018,0.03,0.015,0.375,1.299
